"lon","lat","sampleid","SecondaryLabel","PLOTID","EMAIL","Confidence","ConfidenceReasoning","LC2000","ForestType2000","NonForestType2000","CropType2000","LC2018end","forestChangeEvent","Change1year","ChangeType1","DegradationDriver1","LossDriver1","SecondForestChangeEvent","Change2year","ChangeType2","DegradationDriver2","LossDriver2","ThirdForestChangeEvent","Change3year","ChangeType3","DegradationDriver3","LossDriver3","morethan3forestchanges","DescribeExtraChanges","ForestType2018","NonForestType2018","CropType2018","mixedLCpixel"
121.1651698,13.67698495,311,"","311","tgisorena@yahoo.com","medium","2003 looks like there was deforestation based in the NDFI. In 2015 reforestation palms are in the forest, and burning has clearly occurred nearby. Unclear when/if the exact area was burned. Some normal trees remain, so not deforested.","forest","inland forest","","","forest","yes","2003","Deforestation","Unsure","Forest / brush fire","yes","2013","Reforestation",NA,"","no",NA,"",NA,"","",NA,"inland forest","","","no"
121.1681342,13.20024903,268,"","268","","stable non forest",""," forest river in between shrubs. Maybe there were two land class (shrubland and swamp)),kgervespiritu@gmail.com,60,non-forest,,stable non forest,stable nonforest,no,,,other (leave in note),non-forest,Year 2000","148198299","","",NA,"","","","stable non forest",NA,"","","stable non forest","","","","N/A non-forest entire time","medium","","","","","","stable non forest",NA,NA
121.1681342,14.25370336,954,"","954","","no","","non-forest","","built-up","built-up","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","built-up","","no"
121.1910412,13.96237971,265,"","265","","no","","non-forest","","open/barren","open/barren","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","open/barren","","yes"
121.1926582,13.64356762,158,"","158","","LabelPerennial-MapDEF1","none","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","perennial crop","coconut / other palm","no"
121.1929277,16.68023261,708,"","708","","no","","non-forest","","grassland","grassland","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","grassland","","no"
121.1985871,15.92483928,418,"","418","","No","none","forest","inland forest","","",NA,"yes","","","stable forest","Conversion of forests (plantations,,,,non-forest,no,NA,,stable forest,2017,no,,,medium, fishpond)"," agroforestry","","","","","","","stable forest",NA,"","","","Deforestation","","","perennial crop"
121.1985871,18.18670734,8,"","8","","no","Beside river","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
121.2112533,17.0788151,1,"","1","","no","There maybe landslide occurrences nearby. ","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
121.2117923,13.12964145,89,"","89","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
121.2158347,17.35531654,29,"","29","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
121.2179907,18.2236281,19,"","19","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
121.2196077,19.10999579,547,"","547","","no","none","non-forest","","open/barren","open/barren","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","open/barren","","no"
121.2212246,14.64150607,48,"","48","","no","","non-forest","","grassland","grassland","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","grassland","","Not Measured"
121.2220331,15.48044271,118,"","118","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
121.2228416,14.73825462,921,"","921","","no","","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
121.2241891,12.49740715,781,"","781","","no","","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
121.2252671,15.35108531,277,"","277","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.2271535,12.22979903,64,"","64","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
121.230118,14.83123026,620,"Deforestation","620","",NA,"","stable forest","","","","","","","","","","","","","","Conversion of forests (plantations,non-forest,no,NA,,stable forest,2013, cashew,,,medium,, rambutan durian)","","","","","","","","","","",""
121.2479046,16.2474243,119,"Multiple events","119","","no","","forest","inland forest","","","forest","yes","2004","Degradation","Legal / illegal logging / poaching","","yes","2014","Reforestation",NA,"","no",NA,"",NA,NA,"","","inland forest","","","Not Measured"
121.2500606,16.86995679,312,"","312","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
121.2511385,16.47730318,234,"","234","leizeldelacruz@gmail.com","","","forest","inland forest","","","non-forest","yes","2003","Deforestation","","Conversion of forests (plantations, agroforestry, fishpond)","yes","2008","Reforestation",NA,"","","no","",NA,"","",NA,"","perennial crop","unsure","yes"
121.2532945,13.82763242,78,"","78","","no","none","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","built-up","","Not Measured"
121.2573369,13.76322322,286,"","286","","stable nonforest","","non-forest","","","","","shrubs","","","","","","","","","","","","",NA,"","","","","perennial crop","fruit trees (mango,N/A non-forest entire time,plot has mix palm and fruit tree,stable non forest, cashew,Reforestation,,26644240,NA,reforested,stable non forest,,,,,non-forest,,,,21821578,NA, rambutan durian)",NA
121.2724286,12.45428801,860,"","860","","stable nonforest","","non-forest","","","","","shrubs","","","","","","","","","","","","",NA,"","","","","perennial crop","fruit trees (mango,N/A non-forest entire time,,stable non forest, cashew,Reforestation,,26644240,NA,reforested,stable non forest,,,,,non-forest,,,,21821578,NA, rambutan durian)",NA
121.278088,17.81749976,873,"","873","","LabelPerennial-MapNONFOREST","","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","perennial crop","coconut / other palm","yes"
121.2850949,16.75434362,733,"","733","","no","","non-forest","","open/barren","open/barren","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","open/barren","","no"
121.2856338,16.21023405,487,"","487","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.2910237,13.23366636,473,"","473","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
121.2958746,15.44594741,617,"","617","","no","","non-forest","","grassland","grassland","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
121.2996476,15.46211708,476,"","476","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
121.3139308,14.80724524,535,"","535","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.3317174,5.949227716,728,"","728","","LabelPerennial-MapDEF23","","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","perennial crop","coconut / other palm","no"
121.3336039,13.84407159,429,"","429","","LabelPerennial-MapNONFOREST","none","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","perennial crop","coconut / other palm","no"
121.3373768,16.19109993,823,"","823","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.3486956,12.40739596,866,"","866","","no","Plot became a mixture of shrub and some palm lookinb trees.","forest","inland forest","","","non-forest","yes","2002","Deforestation","","Kaingin making","no",NA,"","","","",NA,"",NA,"","","","","perennial crop","unsure","yes"
121.353816,14.11706961,525,"","525","","LabelPerennial-MapDEF1","none","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","perennial crop","coconut / other palm","yes"
121.3565109,12.63619686,361,"Degradation","361","","no","","forest","inland forest","","","forest","yes","2003","Degradation","Unsure","","no",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.3664822,18.42925246,212,"","212","","no","rice farm","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
121.3672907,17.14160734,985,"","985","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.3740281,14.1768974,49,"","49","","no","none","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","shrubs","","Not Measured"
121.3802264,17.41864777,663,"","663","","no","none","non-forest","","shrubs","shrubs","forest","yes","2017","Reforestation","","","no",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.3893893,16.24095643,165,"","165","leizeldelacruz@gmail.com","high","","forest","inland forest","","","non-forest","yes","2007","Deforestation","","Kaingin making","no",NA,"",NA,"","",NA,"",NA,"","",NA,"","annual crop","","no"
121.3901977,16.09704632,471,"","471","","no","","non-forest","","open/barren","open/barren","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","open/barren","","no"
121.4009775,15.43759307,752,"","752","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.4042115,13.17491654,751,"","751","","LabelPerennial-MapFOREST","","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","perennial crop","coconut / other palm","no"
121.4047505,13.92357249,51,"","51","","no","none","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","annual crop","","Not Measured"
121.4074454,17.12301221,606,"","606","","No","Located in gully or lower part of the surrounding area. Looks forest in 2010 at the edge of the forest patch. In some years looks like shrub (2011).","forest","inland forest","","",NA,"yes","","","stable non forest","Conversion of forests (plantations,,,,forest,no,NA,,stable non forest,2017,yes,,,high, fishpond)"," agroforestry","","","","","","","stable non forest",NA,"","","","Deforestation","","inland forest",""
121.4096014,16.00973008,20,"","20","","no","the area is river islets exposed when water level is low. ","non-forest","","open/barren","open/barren","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","open/barren","","Not Measured"
121.4139133,12.56235534,254,"","254","","LabelPerennial-MapDEF1","none","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","perennial crop","coconut / other palm","no"
121.4195727,16.54844975,926,"","926","","no","","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
121.4281965,15.85800463,789,"","789","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.4387068,17.03084506,859,"","859","","no","","non-forest","","open/barren","open/barren","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","open/barren","","no"
121.4521815,12.90865589,822,"","822","","no","none","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
121.4796699,15.86851492,260,"","260","","no","","non-forest","","shrubs","shrubs","forest","yes","2014","Reforestation","","","no",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.4823649,17.32216871,435,"","435","","no","none","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
121.4966481,16.2773382,274,"","274","","no","","forest","inland forest","","","non-forest","yes","2004","Deforestation","","Legal / illegal logging / poaching","no",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
121.4996125,13.85565986,426,"","426","","no","mix of perennial and built-up","non-forest","","built-up","built-up","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","built-up","","yes"
121.5060804,18.17242412,686,"","686","","LabelPerennial-MapNONFOREST","","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","yes"
121.5071584,17.61591781,655,"","655","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
121.5101228,13.126677,211,"","211","","LabelPerennial-MapDEF1","Palm plantation","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","perennial crop","coconut / other palm","no"
121.5120093,14.40408134,912,"","912","","no","","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
121.5120093,14.68732015,697,"Degradation","697","","no","","forest","inland forest","","","forest","yes","2004","Degradation","Unsure","","no",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.5359943,14.2515474,869,"","869","","no","","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","yes"
121.5454266,16.7155364,423,"","423","","no","none","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
121.5465046,16.00137575,376,"","376","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.5491995,15.94235643,872,"","872","","no","none","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
121.5626743,15.63486311,410,"","410","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.5707591,11.93497195,466,"","466","","LabelPerennial-MapNONFOREST","","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","perennial crop","unsure","yes"
121.5799219,16.11510246,564,"","564","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.5801914,16.87804163,144,"","144","","no","NONE","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","annual crop","","Not Measured"
121.5869288,14.71238314,635,"Degradation","635","leizeldelacruz@gmail.com","high","edge of forest and annual","forest","inland forest","","","forest","yes","2005","Degradation","","Conversion of forests (plantations, agroforestry, fishpond)","no",NA,"",NA,"","",NA,"",NA,"","",NA,"inland forest","","","yes"
121.5882763,14.81964199,895,"","895","tgisorena@yahoo.com","high","Forest on 2000 then deforested on 2005 became perennial on 2010","forest","inland forest","","","non-forest","yes","2005","Deforestation","","Conversion of forests (plantations, agroforestry, fishpond)","no",NA,"",NA,"","",NA,"",NA,"","",NA,"","perennial crop","coconut / other palm","no"
121.5947441,17.49949614,112,"","112","","no","","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","shrubs","","Not Measured"
121.5950136,18.35406347,316,"","316","","no","","forest","mangrove forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","mangrove forest","","","no"
121.6025595,16.71957882,757,"","757","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
121.6074104,17.91667376,216,"","216","","no","none","non-forest","","grassland","grassland","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","yes"
121.6238495,14.36931654,128,"","128","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
121.6254665,17.54557972,288,"","288","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
121.6300479,14.37551491,886,"","886","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.6400192,14.44962592,972,"","972","","No","change in cover was based on NDFI values and pixels in the geodash ","forest","inland forest","","",NA,"yes","","","stable forest","Conversion of forests (plantations,,,,non-forest,no,NA,,stable forest,2017,no,,,medium, fishpond)"," agroforestry","","","","","","","stable forest",NA,"","","","Deforestation","","","grassland"
121.6421752,16.33366257,167,"","167","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.6588838,18.04495319,597,"","597","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
121.6626568,14.01924307,387,"","387","","no","","forest","inland forest","","","non-forest","yes","2015","Deforestation","","Unsure","no",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
121.6825994,16.54171239,516,"","516","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
121.6928402,17.40301708,558,"","558","","no","none","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","shrubs","","no"
121.7119743,17.00497358,43,"","43","","no","none","non-forest","","annual crop","annual crop","non-forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","annual crop","","Not Measured"
121.7222151,17.35962846,544,"","544","","no","none","non-forest","","built-up","built-up","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","built-up","","no"
121.7246405,17.88110048,258,"","258","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
121.7424272,17.53506943,982,"","982","","no","planted to annual crop in 2015","non-forest","","open/barren","open/barren","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
121.777731,17.98269994,762,"","762","","no","","non-forest","","grassland","grassland","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","grassland","","no"
121.7855463,16.48889145,94,"","94","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","annual crop","","Not Measured"
121.7955176,16.64708477,40,"","40","","no","","non-forest","","open/barren","open/barren","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","open/barren","","Not Measured"
121.79956,17.60513802,108,"","108","","no","","non-forest","","shrubs","shrubs","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","shrubs","","Not Measured"
121.8087228,16.21804939,353,"","353","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","yes"
121.8184246,17.52348116,976,"","976","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
121.823545,17.4916808,224,"","224","","no","","non-forest","","open/barren","open/barren","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","open/barren","","no"
121.8464521,14.01385318,773,"","773","","LabelPerennial-MapDEF1","none","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","perennial crop","coconut / other palm","no"
121.8645082,16.56138549,386,"","386","","no","","non-forest","","grassland","grassland","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","open/barren","","no"
121.8698981,17.77896203,589,"","589","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.8787914,17.77815355,9,"","9","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
121.8828338,15.02930878,612,"","612","","LabelPerennial-MapMultiNoise","","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","perennial crop","coconut / other palm","no"
121.8952306,18.98117737,156,"","156","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.9041239,17.75362954,137,"","137","","no","","non-forest","","grassland","grassland","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","grassland","","Not Measured"
121.9143647,16.62229127,616,"","616","","No","","forest","inland forest","","",NA,"yes","","","stable non forest","Conversion of forests (plantations,,,,non-forest,no,NA,,stable non forest,2006,no,,,medium, fishpond)"," agroforestry","","","","","","","stable non forest",NA,"","","","Deforestation","","","perennial crop"
121.9332293,16.5015577,651,"","651","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.9399667,12.09235679,340,"","340","","no","none","non-forest","","open/barren","open/barren","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","open/barren","","no"
121.9464346,13.86967358,690,"","690","","LabelPerennial-MapREF23","","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","perennial crop","coconut / other palm","no"
121.9467041,17.09821871,149,"","149","","no","none","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","annual crop","","Not Measured"
121.9529024,13.34227267,132,"","132","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
121.9572143,17.44398026,354,"","354","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.9607178,16.87103477,407,"","407","","no","mixed annual and perennial","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","yes"
121.9642212,20.43644813,919,"","919","dennismontoya.fgdis@gmail.com","high","2000 forest, 2006 defo, 2011 refo area looks along a stream","forest","inland forest","","","forest","yes","2006","Deforestation","","","yes","2016","Reforestation",NA,"","",NA,"",NA,"","",NA,"inland forest","","","no"
121.9658382,16.41262448,615,"","615","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.9661077,17.79378423,643,"","643","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
121.9685331,14.7495734,13,"","13","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
121.9736535,10.51123206,778,"","778","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
121.9763485,16.79234235,707,"","707","","no","mix of annual and perennial","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","yes"
121.9825468,18.17458008,60,"","60","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
121.9830858,14.77086347,365,"","365","","LabelPerennial-MapREF1","2018 images shows coconut mixed with trees","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","perennial crop","coconut / other palm","yes"
121.9844333,6.648566165,548,"","548","","LabelPerennial-MapDEF1","Palms and Fruit Trees","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","perennial crop","coconut / other palm","no"
121.9871282,13.22881545,24,"Multiple events","24","","no","","forest","inland forest","","","forest","yes","2014","Degradation","Unsure","","yes","2017","Reforestation",NA,"","no",NA,"",NA,NA,"","","inland forest","","","Not Measured"
121.9906317,16.23853098,820,"","820","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
122.0008725,17.6361299,552,"","552","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
122.0070708,17.94793513,979,"","979","tgisorena@yahoo.com","high","Forest in 2000, Loss in 2002, clearly agriculture after 2009, but no high res imagery before that and graph indicates stable forest","forest","inland forest","","","non-forest","yes","2002","Deforestation","","Conversion of forests (plantations, agroforestry, fishpond)","no",NA,"",NA,"","",NA,"",NA,"","",NA,"","annual crop","","no"
122.0386017,12.57798603,32,"Degradation","32","","No","2018 years show that there is decrease of vegetation in google earth ","forest","inland forest","","","","yes","stable forest","","","stable forest"," fishpond),Degradation,,82877320,Degradation, agroforestry,,,Conversion of forests (plantations","","medium","","","stable forest","no","2011",NA,"","",NA,"Not Measured","","","shrubs"
122.0461476,6.574724649,608,"","608","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
122.0509985,16.67295625,103,"","103","leizeldelacruz@gmail.com","high","Edge of shrub and forest","forest","inland forest","","","forest","yes","2003","Deforestation","","Unsure","yes","2014","Reforestation",NA,"","no",NA,"",NA,NA,"",NA,"inland forest","","","Not Measured"
122.0547714,16.96508838,694,"","694","","LabelPerennial-MapNONFOREST","perennial and built-up ","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","perennial crop","unsure","yes"
122.0590833,16.29781979,146,"","146","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
122.0609698,16.2075391,138,"","138","","no","","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","annual crop","","Not Measured"
122.0660902,17.55096961,385,"","385","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
122.0671681,13.89877899,79,"","79","","LabelPerennial-MapFOREST","none","non-forest","","perennial crop","perennial crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","","perennial crop","coconut / other palm","Not Measured"
122.0733665,18.32603604,803,"","803","","no","NONE","non-forest","","annual crop","annual crop","non-forest","N/A non-forest entire time",NA,"","","","",NA,"","","","",NA,"",NA,"","","","","annual crop","","no"
122.075253,17.74311925,150,"","150","","no","none","forest","inland forest","","","forest","no",NA,"","","","",NA,"",NA,"","",NA,"",NA,NA,"","","inland forest","","","Not Measured"
122.0760615,18.0740586,604,"","604","","no","","forest","inland forest","","","forest","no",NA,"","","","",NA,"","","","",NA,"",NA,"","","","inland forest","","","no"
